station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
151530,McMahon Road Ranch,2.5,41940,"San Jose-Sunnyvale-Santa Clara, CA",06069000100,San Benito County,0.625181686046512,0.281795058139535,0.096774193548387
151598,Deer Valley,0.2,41860,"San Francisco-Oakland-Fremont, CA",06013303207,Contra Costa County,0.784643288996372,0.370060606060606,0.13556654676259
151596,South Lake Tahoe,10.7,40900,"Sacramento-Roseville-Folsom, CA",06017030402,El Dorado County,0.2693401592719,0.354154561301569,0.072753209700428
151610,Ross Branch Rd,0.2,42220,"Santa Rosa-Petaluma, CA",06097153712,Sonoma County,0.282813273897969,0.241208519068846,0.161874334398296
151750,Brookshire Ave,11.1,31080,"Los Angeles-Long Beach-Anaheim, CA",06037550902,Los Angeles County,0.918563922942207,0.262798036465638,0.076704545454545
151772,Fair Enough,2.2,41860,"San Francisco-Oakland-Fremont, CA",06075025300,San Francisco County,0.624862486248625,0.157556981633105,0.027401894451962
151910,Beach Club,9.1,31080,"Los Angeles-Long Beach-Anaheim, CA",06037701304,Los Angeles County,0.266507557677009,0.105807478122514,0.020235578375113
151928,ORV,10.9,34900,"Napa, CA",06055201403,Napa County,0.215155615696888,0.054127198917456,0.031111111111111
151958,Northwoods,1.8,46020,"Truckee-Grass Valley, CA",06057001208,Nevada County,0.076923076923077,0.153846153846154,0.040441176470588
152038,Grand View,3.2,41860,"San Francisco-Oakland-Fremont, CA",06001400100,Alameda County,0.310186601407158,0.08435960591133,0.050347222222222
152048,Bon Temps,1.2,40900,"Sacramento-Roseville-Folsom, CA",06017032002,El Dorado County,0.319148936170213,0.333333333333333,0.0
152054,Silver Creek,0.0,40900,"Sacramento-Roseville-Folsom, CA",06061022014,Placer County,0.087825560266505,0.232586311326469,0.061835748792271
152056,Winterfell,0.0,41860,"San Francisco-Oakland-Fremont, CA",06041108100,Marin County,0.216684077003432,0.116574503063817,0.082356076759062
152062,Tahoma- Chinkapin,1.0,40900,"Sacramento-Roseville-Folsom, CA",06017032001,El Dorado County,0.038271604938272,0.290123456790123,0.0
152068,Panama Outdoors,1.8,41860,"San Francisco-Oakland-Fremont, CA",06013383000,Contra Costa County,0.519493844049248,0.35045368943674,0.046998867497169
152096,yoyo_home,4.8,40900,"Sacramento-Roseville-Folsom, CA",06061021324,Placer County,0.268348275338095,0.020057741984501,0.064788732394366
152220,Oakana,14.3,41740,"San Diego-Chula Vista-Carlsbad, CA",06073020807,San Diego County,0.29106529209622,0.127491408934708,0.033536585365854
152254,154 collins GWR,1.2,41860,"San Francisco-Oakland-Fremont, CA",06013377000,Contra Costa County,0.95323281369793,0.577511900167246,0.1194743130227
152666,Mojodojocasahouse,0.0,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085507301,Santa Clara County,0.567888563049853,0.078689982216953,0.046645367412141
152962,Skyote Mountain,0.4,42100,"Santa Cruz-Watsonville, CA",06087120901,Santa Cruz County,0.156742323097463,0.15972972972973,0.046335697399527
152972,Gutter Skunk HQ,1.8,40900,"Sacramento-Roseville-Folsom, CA",06061020402,Placer County,0.184367034834325,0.250920419144718,0.040417209908735
153472,Coop,1.6,41860,"San Francisco-Oakland-Fremont, CA",06001425104,Alameda County,0.584454409566517,0.285785660754434,0.038357225881441
153530,"Boynton Ave, San Jose",1.0,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085506301,Santa Clara County,0.626347774946089,0.127214811865419,0.009733124018838
153650,Windows,3.6,39780,"Red Bluff, CA",06103000800,Tehama County,0.515748923634716,0.450713800135962,0.062567421790723
153668,Cragmont,1.6,41860,"San Francisco-Oakland-Fremont, CA",06001421100,Alameda County,0.233870967741935,0.046489563567362,0.063291139240506
153912,Melville,0.0,41860,"San Francisco-Oakland-Fremont, CA",06041117000,Marin County,0.18800539083558,0.089662921348315,0.049737161342499
153916,Cal Bear,0.5,39820,"Redding, CA",06089010602,Shasta County,0.186142322097378,0.163053903702283,0.059602649006623
153952,Ridgemont,4.1,41860,"San Francisco-Oakland-Fremont, CA",06001408100,Alameda County,0.626555449200055,0.087105155203063,0.068242102724861
153971,FHMiramar,2.9,41860,"San Francisco-Oakland-Fremont, CA",06081613502,San Mateo County,0.148280337443219,0.107142857142857,0.075389948006932
