station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
0003,Yuba City,15.8829953551913,49700,"Yuba City, CA",06101050202,Sutter County,0.659713800630609,0.372753763963089,0.081746031746032
1003,Stockton - University Park,14.5131519125683,44700,"Stockton-Lodi, CA",06077000402,San Joaquin County,0.830779785044592,0.631921824104234,0.021924482338611
4009,Signal Hill (LBSH),13.8081147540984,31080,"Los Angeles-Long Beach-Anaheim, CA",06037573402,Los Angeles County,0.780487804878049,0.33609656777196,0.052330122363968
0002,WMRC/NCORE,11.4054780601093,13860,"Bishop, CA",06027000100,Inyo County,0.484542792059876,0.395045632333768,0.088419405320814
2024,Merced-Vierra,15.485200273224,32900,"Merced, CA",06047002601,Merced County,0.810570987654321,0.222608024691358,0.103274559193955
0010,Bakersfield-Golden / M St,16.7374199453552,12540,"Bakersfield-Delano, CA",06029000603,Kern County,0.747799295774648,0.744652406417112,0.28099173553719
2005,Pasadena,12.629300273224,31080,"Los Angeles-Long Beach-Anaheim, CA",06037463500,Los Angeles County,0.525812304139865,0.245038317940656,0.081451612903226
1001,Truckee-Fire Station,9.5797106557377,46020,"Truckee-Grass Valley, CA",06057001209,Nevada County,0.253861652115514,0.06178643384822,0.032745591939547
2002,Indio,9.061847814207653,40140,"Riverside-San Bernardino-Ontario, CA",06065049502,Riverside County,0.979572595851666,0.573852922690132,0.221585482330468
9004,San Bernardino,11.9186442622951,40140,"Riverside-San Bernardino-Ontario, CA",06071006502,San Bernardino County,0.944648318042813,0.730061349693252,0.031204644412192
1003,Woodland-Gibson Road,14.1518032786885,40900,"Sacramento-Roseville-Folsom, CA",06113011208,Yolo County,0.540523128462827,0.081427015250545,0.041729135432284
1010,San Diego - Beardsley Street,11.6233636612022,41740,"San Diego-Chula Vista-Carlsbad, CA",06073005103,San Diego County,0.633235724743777,0.735196763515999,0.261261261261261
8005,Mira Loma (Van Buren),14.3894204918033,40140,"Riverside-San Bernardino-Ontario, CA",06065040403,Riverside County,0.806814063066328,0.139543312794491,0.063165365507452
1003,Salinas 3,7.99084931693989,41500,"Salinas, CA",06053010608,Monterey County,0.940848214285714,0.354285714285714,0.016276041666667
2004,Mesa2,8.70751229508197,42020,"San Luis Obispo-Paso Robles, CA",06079012306,San Luis Obispo County,0.164542067071975,0.10200078462142,0.010780508840017
0005,San Francisco,10.3922740437158,41860,"San Francisco-Oakland-Fremont, CA",06075060702,San Francisco County,0.528020565552699,0.267997898055702,0.051824817518248
2002,Willits-125 East Commercial Street,10.795081420765,46380,"Ukiah, CA",06045010700,Mendocino County,0.306113843991567,0.333285998295939,0.103274559193955
2007,CDF,8.70751229508197,42020,"San Luis Obispo-Paso Robles, CA",06079012306,San Luis Obispo County,0.164542067071975,0.10200078462142,0.010780508840017
1002,Stockton-Hazelton,14.5888112021858,44700,"Stockton-Lodi, CA",06077001900,San Joaquin County,0.948897256589564,0.442571899615314,0.078154784597789
0009,Pechanga,10.0171259562842,40140,"Riverside-San Bernardino-Ontario, CA",06065043203,Riverside County,0.419765840220386,0.172865013774105,0.040268456375839
2010,Manteca,14.4675776229508,44700,"Stockton-Lodi, CA",06077005122,San Joaquin County,0.782804266803753,0.10310349305285,0.062137531068766
1016,Morongo Air Monitoring Station,8.48123040983607,40140,"Riverside-San Bernardino-Ontario, CA",06065043813,Riverside County,0.626663319106201,0.287440221495092,0.030898876404494
0011,Fresno - Garland,19.42447568306009,23420,"Fresno, CA",06019005100,Fresno County,0.811129848229342,0.557282760764806,0.172770700636943
8001,Rubidoux,13.8225180327869,40140,"Riverside-San Bernardino-Ontario, CA",06065040304,Riverside County,0.900909302867801,0.63265306122449,0.121353558926488
0003,Napa,10.6077316939891,34900,"Napa, CA",06055200504,Napa County,0.57102081934184,0.221501227639425,0.031521110468479
0012,Folsom-Natoma St.,13.6407469945355,40900,"Sacramento-Roseville-Folsom, CA",06067008404,Sacramento County,0.347639484978541,0.360617938667282,0.083159214375261
0005,Calexico-Ethel Street,10.7327918032787,20940,"El Centro, CA",06025012004,Imperial County,0.980968045112782,0.508928571428571,0.219453761379971
0010,Sacramento-1309 T Street,14.6037355191257,40900,"Sacramento-Roseville-Folsom, CA",06067002000,Sacramento County,0.528865979381443,0.255605381165919,0.062022090059473
2010,Madera-City,17.9268404371585,23420,"Fresno, CA",06039000517,Madera County,0.728273244781784,0.265793167992513,0.024008350730689
1018,El Cajon - Floyd Smith Dr.,11.3066650273224,41740,"San Diego-Chula Vista-Carlsbad, CA",06073016202,San Diego County,0.57079231129864,0.225322391559203,0.104532462229481
0013,Berkeley- Aquatic Park,11.1089715846995,41860,"San Francisco-Oakland-Fremont, CA",06001422000,Alameda County,0.505095801059927,0.172910662824208,0.022349570200573
1602,Pico Rivera #2,14.4358860655738,31080,"Los Angeles-Long Beach-Anaheim, CA",06037500403,Los Angeles County,0.965970832141836,0.163568773234201,0.03921568627451
0007,Anaheim,13.9910461748634,31080,"Los Angeles-Long Beach-Anaheim, CA",06059087105,Orange County,0.843683463449255,0.311586452762923,0.069347688410386
0018,Ridgecrest-Ward,8.49743983606557,12540,"Bakersfield-Delano, CA",06029005509,Kern County,0.370899352823031,0.244979919678715,0.102424542305789
