state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
06,071,2002,88101,21,PM2.5 - Local Conditions,2016-04-30,2018-11-29,,,,,POPULATION EXPOSURE,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2016-04-30,,,,,0972,South Coast Air Quality Management District,1321,34.10002,-117.49201,WGS84,0.0,381.0,,,Fontana,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,
06,073,0077,88101,3,PM2.5 - Local Conditions,2020-12-11,,All (2020-12-11 - Present),,REGIONAL SCALE,50 TO HUNDREDS KM,GENERAL/BACKGROUND; WELFARE RELATED IMPACTS,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2024-11-19,Y,,TRIBAL,,570,"Campo Band of Diegueno Mission Indians of Campo Indian Reservation, CA",94253,32.6509,-116.365,WGS84,2.0,1018.15,,GROUND LEVEL SUPPORT,Campo Indian Reservation,"Campo Kumeyaay Nation, 36190 Church Rd, Ste 4, Campo, CA 91906",California,San Diego,Campo,41740,"San Diego-Carlsbad, CA",,,570,"Campo Band of Diegueno Mission Indians of Campo Indian Reservation, CA"
06,067,0010,88101,2,PM2.5 - Local Conditions,2021-04-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2021-04-01,,,SLAMS,,0145,California Air Resources Board,1272,38.56844,-121.49311,NAD83,0.0,0.0,10.0,,Sacramento-1309 T Street,"1309 T ST., SACRAMENTO, CA. 95814",California,Sacramento,Sacramento,40900,"Sacramento--Roseville--Arden-Arcade, CA",472,"Sacramento-Roseville, CA",,
06,019,5025,88101,3,PM2.5 - Local Conditions,2021-01-01,,,AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2022-03-11,Y,,SLAMS,,0945,San Joaquin Valley Unified Air Pollution Control District,944,36.72639,-119.733,WGS84,1.52,100.0,11.3,,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,23420,"Fresno, CA",260,"Fresno-Madera, CA",,
06,029,0010,88101,4,PM2.5 - Local Conditions,2021-01-01,2022-01-20,,AREA,MICROSCALE,0 M TO 100 M,POPULATION EXPOSURE,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,2021-01-01,,,SLAMS,,0945,San Joaquin Valley Unified Air Pollution Control District,1008,35.385574,-119.015009,WGS84,3.04,151.0,5.9,,Bakersfield-Golden / M St,"2820 M St., Bakersfield, CA 93301",California,Kern,Bakersfield,12540,"Bakersfield, CA",,,,
06,025,1003,88101,3,PM2.5 - Local Conditions,2021-11-15,,,,,,POPULATION EXPOSURE,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,2021-11-15,Y,,SLAMS,,0145,California Air Resources Board,963,32.79222,-115.56306,WGS84,0.0,0.0,,,El Centro-9th Street,"150 9TH ST., EL CENTRO",California,Imperial,El Centro,20940,"El Centro, CA",,,,
06,063,1010,88101,4,PM2.5 - Local Conditions,2022-10-01,,,,,,POPULATION EXPOSURE,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,2022-10-01,Y,,SLAMS,,0790,Northern Sierra AQMD,97358,39.81336,-120.47069,WGS84,20.0,8.0,,,Portola,"420 Gulling Street, Portola, CA 96122",California,Plumas,Portola,,,,,,
06,073,1026,88101,3,PM2.5 - Local Conditions,2022-05-16,,All (2022-05-16 - 2023-07-06),AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2023-07-07,Y,,SLAMS,,0942,San Diego County Air Pollution Control District,104551,32.710177,-117.142665,NAD83,2.0,34.0,2.0,GROUND LEVEL SUPPORT,San Diego - Sherman Elementary School,450B 24th Street,California,San Diego,San Diego,41740,"San Diego-Carlsbad, CA",,,,
06,037,9035,88101,1,PM2.5 - Local Conditions,2023-01-01,,,MOBILE,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2023-01-01,Y,,SLAMS,,0042,Antelope Valley APCD,105123,34.725389,-118.178601,WGS84,151.0,706.5,3.0,TOP OF BUILDING,Lancaster - Fairgrounds,"2551 W. Avenue H Lancaster, CA",California,Los Angeles,Lancaster,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,023,1004,88101,2,PM2.5 - Local Conditions,2023-12-02,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2023-12-02,,,SPM,,0086,Bay Area Air Quality Management District,93538,40.77678,-124.17949,NAD83,1.0,21.0,7.1,TOP OF BUILDING,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,21700,"Eureka-Arcata-Fortuna, CA",,,,
