sensor_index,name,latitude,longitude,pm2.5
13183,Rubicon Bay,39.008034,-120.117645,0.5
13185,Gardner Mtn - Shady,38.914734,-120.01757,0.6
275334,Redwood HS,37.937046,-122.52441,0.0
13189,"Shingletown, CA",40.500526,-121.84215,0.0
13191,FC-Mariposa,37.50727,-119.98792,1.3
13197,"1701 Cliffbranch Drive, Diamond Bar",33.993523,-117.84028,10.5
13201,Shurtz residence,37.883785,-122.10053,0.9
13203,Heidi Outside,33.894543,-118.3998,7.3
13207,"Shingle Springs, MCC Yard",38.65181,-120.95341,1.4
275372,Beryl,34.473545,-118.633484,10.7
275394,Senior Center,39.502842,-118.61347,1.1
275402,Fox Peak Cinema,39.477116,-118.77109,0.6
275414,Emergency Management,39.504124,-118.61423,0.9
13287,Mammoth Lakes,37.6254,-118.98138,0.5
275460,Environmental Lot,39.484894,-118.75865,0.3
275462,CLC,39.504166,-118.61361,1.0
275472,21stAtClement,37.78166,-122.480125,5.4
13395,AYUNTAMIENTO DE MEXICALI - COBACH MIGUEL HIDALGO,32.609226,-115.45039,4.9
13455,AYUNTAMIENTO DE MEXICALI - DELEGACIÓN CIUDAD MORELOS,32.631702,-114.8649,0.0
275622,DFJ Center,39.725216,-121.82025,3.4
275616,Nature Center,39.74531,-121.80821,3.9
13479,Salton City UFJ #3,33.27364,-115.98359,10.6
275626,Community Center,39.734142,-121.832985,4.2
275634,Highlands,34.07115,-118.55153,11.1
13495,AYUNTAMIENTO DE MEXICALI - AVENIDA COSALA,32.63675,-115.492905,3.1
275652,UCM-bc61,37.939796,-121.23945,0.9
275650,UCM-c0db,37.970676,-121.36542,1.0
275660,UCM-bf43,38.02607,-121.33113,0.7
13517,Hiller,37.853737,-122.2266,2.3
