sensor_index,name,latitude,longitude,pm2.5,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
146910,Penguin Passage,38.1373,-122.2322,0.1,POINT (-122.2322 38.1373),46700,"Vallejo, CA",1166,06095251901,Solano County,5762,0.828184658104825,0.365599404318689,0.118637431480031,0.171501925545571,0.048272078990675,11.2450278688525
146958,Tava's Jungleland,38.14015,-122.237236,0.0,POINT (-122.237236 38.14015),46700,"Vallejo, CA",1166,06095251901,Solano County,5762,0.828184658104825,0.365599404318689,0.118637431480031,0.171501925545571,0.048272078990675,11.2450278688525
147138,Moss Beach,37.525963,-122.51424,4.8,POINT (-122.51424 37.525963),41860,"San Francisco-Oakland-Fremont, CA",6576,06081613600,San Mateo County,5814,0.305985552115583,0.102933427015633,0.055661577608142,0.102906145783707,0.028301886792453,8.6487368852459
147182,C Street,38.583244,-121.47306,1.3,POINT (-121.47306 38.583244),40900,"Sacramento-Roseville-Folsom, CA",7798,06067000400,Sacramento County,3711,0.378334680679062,0.212341686876853,0.061327561327561,0.053435114503817,0.011937557392103,14.6712286885246
147180,Bonick/Shenanno,38.227013,-122.62933,0.0,POINT (-122.62933 38.227013),42220,"Santa Rosa-Petaluma, CA",2350,06097150701,Sonoma County,4903,0.25922904344279,0.228839486028962,0.079933665008292,0.13064434297311,0.061744966442953,9.336658196721308
147184,PlanArchology Outside,37.85002,-122.2925,11.0,POINT (-122.2925 37.85002),41860,"San Francisco-Oakland-Fremont, CA",5919,06001422000,Alameda County,2453,0.505095801059927,0.172910662824208,0.022349570200573,0.054401582591494,0.018565400843882,11.1089715846995
147234,AQI SPY 8,33.214417,-117.02521,7.5,POINT (-117.02521 33.214417),41740,"San Diego-Chula Vista-Carlsbad, CA",2643,06073019111,San Diego County,4444,0.630738073807381,0.325799086757991,0.03953953953954,0.151197604790419,0.032203389830508,11.1977049180328
147244,AQI Spy 1,33.26026,-116.992836,6.8,POINT (-116.992836 33.26026),41740,"San Diego-Chula Vista-Carlsbad, CA",2644,06073019110,San Diego County,5194,0.488640739314594,0.281547498480859,0.008595988538682,0.125397284021959,0.005972130059721,10.9825540983607
147254,AQI SPY 7,33.23929,-117.005585,9.2,POINT (-117.005585 33.23929),41740,"San Diego-Chula Vista-Carlsbad, CA",2643,06073019111,San Diego County,4444,0.630738073807381,0.325799086757991,0.03953953953954,0.151197604790419,0.032203389830508,11.1977049180328
147260,Woodlake East,38.604527,-121.451645,2.5,POINT (-121.451645 38.604527),40900,"Sacramento-Roseville-Folsom, CA",2179,06067006901,Sacramento County,1637,0.461209529627367,0.306658521686011,0.222115384615385,0.159558823529412,0.0,14.7244183060109
147286,301 Harding Ave,38.6089,-121.470055,0.2,POINT (-121.470055 38.6089),40900,"Sacramento-Roseville-Folsom, CA",4795,06067007001,Sacramento County,4536,0.808201058201058,0.530842361264647,0.039936941671046,0.377344336084021,0.162399414776884,14.7907448087432
147284,AQI SPY 6,33.198776,-116.96868,40.8,POINT (-116.96868 33.198776),41740,"San Diego-Chula Vista-Carlsbad, CA",6047,06073019107,San Diego County,2616,0.459480122324159,0.199311400153022,0.11844331641286,0.082777777777778,0.02944640753828,10.4570732240437
147298,60th &amp; Tahoe - Tahoe Terrace,38.549057,-121.43543,1.2,POINT (-121.43543 38.549057),40900,"Sacramento-Roseville-Folsom, CA",231,06067001701,Sacramento County,2207,0.697326687811509,0.490711372904395,0.099688473520249,0.132963988919668,0.0,14.5389341530055
147306,Oak Park 21st,38.53361,-121.47,0.3,POINT (-121.47 38.53361),40900,"Sacramento-Roseville-Folsom, CA",4536,06067003700,Sacramento County,4721,0.902986655369625,0.430366269165247,0.065498539841469,0.297020185837872,0.125617501764291,14.5126491803279
147314,AQI SPY 9,33.259537,-117.02716,10.6,POINT (-117.02716 33.259537),41740,"San Diego-Chula Vista-Carlsbad, CA",6222,06073019103,San Diego County,6131,0.386560104387539,0.155901639344262,0.019381162869772,0.063721136767318,0.0,11.952931147541
147312,Park3,38.52332,-121.51864,1.6,POINT (-121.51864 38.52332),40900,"Sacramento-Roseville-Folsom, CA",4252,06067003900,Sacramento County,3696,0.582792207792208,0.170347874102706,0.047691527143582,0.067572398998927,0.030391583869082,14.4374281420765
147318,AQI Spy 4,33.2313,-117.0308,7.5,POINT (-117.0308 33.2313),41740,"San Diego-Chula Vista-Carlsbad, CA",6222,06073019103,San Diego County,6131,0.386560104387539,0.155901639344262,0.019381162869772,0.063721136767318,0.0,11.952931147541
147330,Robla School,38.66357,-121.4471,1.1,POINT (-121.4471 38.66357),40900,"Sacramento-Roseville-Folsom, CA",4663,06067007204,Sacramento County,5941,0.731358357178926,0.215202702702703,0.059777711024332,0.167456556082148,0.070835639180963,14.8543912568306
147364,Dreamworks Animation,34.15752,-118.28611,10.6,POINT (-118.28611 34.15752),31080,"Los Angeles-Long Beach-Anaheim, CA",5697,06037301601,Los Angeles County,5396,0.29948109710897,0.511136065880591,0.114356087262491,0.193355640535373,0.348478164975739,11.7551407103825
147422,AQI SPY 2,33.276943,-117.03953,8.6,POINT (-117.03953 33.276943),41740,"San Diego-Chula Vista-Carlsbad, CA",6222,06073019103,San Diego County,6131,0.386560104387539,0.155901639344262,0.019381162869772,0.063721136767318,0.0,11.952931147541
147426,AQI SPY 5,33.250664,-116.98637,7.7,POINT (-116.98637 33.250664),41740,"San Diego-Chula Vista-Carlsbad, CA",2644,06073019110,San Diego County,5194,0.488640739314594,0.281547498480859,0.008595988538682,0.125397284021959,0.005972130059721,10.9825540983607
147496,AQI SPY 3,33.28691,-116.98685,8.7,POINT (-116.98685 33.28691),41740,"San Diego-Chula Vista-Carlsbad, CA",2644,06073019110,San Diego County,5194,0.488640739314594,0.281547498480859,0.008595988538682,0.125397284021959,0.005972130059721,10.9825540983607
147669,Clos Du Lac,38.80549,-121.11425,2.2,POINT (-121.11425 38.80549),40900,"Sacramento-Roseville-Folsom, CA",2469,06061020601,Placer County,7290,0.171604938271605,0.031995586815612,0.029507229271171,0.012711126588891,0.010104790419162,13.3805800546448
147681,Deep Well &amp; O’Keefe,37.365635,-122.11741,2.5,POINT (-122.11741 37.365635),41940,"San Jose-Sunnyvale-Santa Clara, CA",5056,06085510300,Santa Clara County,4629,0.436379347591272,0.063944696478721,0.048141086749285,0.003312255344776,0.028232636928289,10.333093715847
147827,Blackburn,38.560574,-121.718155,0.0,POINT (-121.718155 38.560574),40900,"Sacramento-Roseville-Folsom, CA",274,06113010609,Yolo County,2433,0.322646937936704,0.122222222222222,0.014184397163121,0.058258642765685,0.0,13.7010166666667
147833,H.Clarke Powers PA,38.830666,-121.202354,0.4,POINT (-121.202354 38.830666),40900,"Sacramento-Roseville-Folsom, CA",2714,06061021203,Placer County,7740,0.205038759689922,0.162715377639591,0.025347506132461,0.062623362641306,0.003187759005419,13.7962035519126
147901,North Indio-Terra Lago,33.732727,-116.187065,1.2,POINT (-116.187065 33.732727),40140,"Riverside-San Bernardino-Ontario, CA",4190,06065045222,Riverside County,2263,0.490057445868316,0.173025732031943,0.017163504968383,0.102899374644684,0.154320987654321,8.88714016393443
147905,Ponderosa,37.36117,-122.00734,0.1,POINT (-122.00734 37.36117),41940,"San Jose-Sunnyvale-Santa Clara, CA",5623,06085508505,Santa Clara County,4765,0.667576075550892,0.090322580645161,0.07859778597786,0.029724570493591,0.067404426559356,10.9208234972678
147921,Vintage Oaks Sunvalley,38.868004,-121.08737,1.6,POINT (-121.08737 38.868004),40900,"Sacramento-Roseville-Folsom, CA",4734,06061020502,Placer County,4351,0.18892208687658,0.122782446311858,0.038423153692615,0.048382559774965,0.004076878276063,12.9570322404372
147935,EFN Outside,38.417324,-121.458405,1.0,POINT (-121.458405 38.417324),40900,"Sacramento-Roseville-Folsom, CA",237,06067009644,Sacramento County,3372,0.589561091340451,0.148576512455516,0.04809619238477,0.022197140707299,0.011220196353436,14.0875040983607
147965,Old Town Marina Dr,33.745117,-118.1107,5.0,POINT (-118.1107 33.745117),31080,"Los Angeles-Long Beach-Anaheim, CA",4680,06059099512,Orange County,2977,0.262344642257306,0.107826671145448,0.045223289994347,0.012014417300761,0.005758157389635,13.2777661202186
148013,Pinnacles NP- East Entrance,36.484753,-121.157265,1.2,POINT (-121.157265 36.484753),41940,"San Jose-Sunnyvale-Santa Clara, CA",598,06069000802,San Benito County,4219,0.465987200758474,0.123160892263882,0.059265811587793,0.082813013473546,0.046886446886447,8.71582863387978
148065,Westgate Cove,33.503017,-117.68992,3.8,POINT (-117.68992 33.503017),31080,"Los Angeles-Long Beach-Anaheim, CA",9101,06059042337,Orange County,3338,0.264529658478131,0.035949670461354,0.074303405572755,0.005582137161085,0.025356576862124,11.4667087431694
148073,Latigo,34.047817,-118.77464,6.8,POINT (-118.77464 34.047817),31080,"Los Angeles-Long Beach-Anaheim, CA",206,06037800406,Los Angeles County,2167,0.260267651130595,0.091135458167331,0.033603707995365,0.024920127795527,0.029187817258883,8.64681469945355
148141,Winter Creek,39.32439,-120.17587,7.4,POINT (-120.17587 39.32439),46020,"Truckee-Grass Valley, CA",556,06057001207,Nevada County,5882,0.338150289017341,0.33134988099286,0.059737884791222,0.126924987580725,0.067520946278955,9.50230573770492
148153,SBCAPCD_53,34.633614,-120.47598,20.1,POINT (-120.47598 34.633614),42200,"Santa Maria-Santa Barbara, CA",5436,06083003102,Santa Barbara County,3092,0.450517464424321,0.179636835278859,0.048693586698337,0.193464052287582,0.036521739130435,7.57167756830601
148159,SBCAPCD_50,34.40299,-119.51512,7.0,POINT (-119.51512 34.40299),42200,"Santa Maria-Santa Barbara, CA",8509,06083001601,Santa Barbara County,5912,0.543809201623816,0.228650137741047,0.025934658134052,0.178613121643708,0.056847545219638,7.85569942622951
148157,SBCAPCD_Info_54,34.94315,-119.67641,6.4,POINT (-119.67641 34.94315),42200,"Santa Maria-Santa Barbara, CA",8466,06083001800,Santa Barbara County,1125,0.446222222222222,0.415111111111111,0.082725060827251,0.098809523809524,0.111856823266219,7.71398729508197
148183,pico_ascnet,34.010403,-118.06867,12.4,POINT (-118.06867 34.010403),31080,"Los Angeles-Long Beach-Anaheim, CA",725,06037500403,Los Angeles County,3497,0.965970832141836,0.163568773234201,0.03921568627451,0.214229867083659,0.08310502283105,14.4358860655738
148195,Overhill Orinda,37.86881,-122.1733,0.3,POINT (-122.1733 37.86881),41860,"San Francisco-Oakland-Fremont, CA",9087,06013353002,Contra Costa County,4182,0.248206599713056,0.020143884892086,0.020489755122439,0.004323245759894,0.005211726384365,11.4741273224044
148233,MOXI SBCAPCD_59,34.413643,-119.691666,9.1,POINT (-119.691666 34.413643),42200,"Santa Maria-Santa Barbara, CA",5067,06083001206,Santa Barbara County,3969,0.634416729654825,0.392592592592593,0.049723756906077,0.240894039735099,0.086127547666009,8.31666516393443
